原文	称号或别名	译文	别名译文	曾用译名	词源读音	简介
Anchorome	Anchorome Archipelago	安科奥梅	安科奥梅列岛	安科洛玛	/ɑːŋkɔːrˈoʊmeɪ/ ang-kor-OH-may	马兹提卡北方大陆
Abeir		艾比尔	阿比尔	艾伯尔、阿贝尔	/ɑːɪˈbɪər/ ai-BEER、/ɑːˈbɪər/ ah-BEER	托瑞尔的孪生星球
Abolethic Sovereignty		底栖魔鱼主权国		底栖魔鱼帝国		居住于希弗的一批底栖魔鱼
Aglarond		阿戈拉隆			/ˈɑːglɑːrɒnd/ AHG-lah-rond	绝域东境国家
Alamber Sea	Sahuagin Sea	阿兰勃海	沙华鱼人之海	阿兰勃内海		费伦东部内海
Aleaxtis	Kingdom of the Sahuagin	艾利克提斯	沙华鱼人王国		/ɑːliˈɑːkstɪs/ al-ee-AKS-tiss	阿兰勃海的沙华鱼人王国
Auril	The Cold Goddess、The Queen of Cold and Frost、Queen of Frozen Tears、The Frostmaiden、Brittle Maiden、Frost Sprite Queen、Lady Frostkiss、Lady Icekiss、Storm-bringer、Soverign of Summers Lost、General of Winter's War、Winter's Womb、Icedawn	欧吕尔	寒冰女神、寒霜女王、冻泪女王、冰霜少女、虚幻少女、霜精女王、霜吻女士、冰吻女士、携风者、无夏之王、冬将军、冬之母、冰封黎明		/ˈɔːrɪl/ AW-rill	费伦神祇
Auril’s Teeth		欧吕尔之牙				费伦东北部地区
Azulduth		阿茹达斯湖				阿兰勃海南方湖泊
Baldur’s Gate	Halfway to Everywhere、City of Blood、the Gate	博德之门	万径半途、血之城、门	柏德之门		剑湾城市
Bedine		贝戴				居住于安诺阿克沙漠的民族
Black Ash Plains		黑烬旷野				燃烟山脉南部荒野
Bloodstone		血石				恶魔之地地区名、宝石名、村庄名
Candlekeep		烛堡				剑湾城镇兼图书馆
Chionthar River	River Chionthar	冲萨河				西央土河流
Cormanthor	The Elven Woods、The Northern Forest	科曼索	精灵之森、北方森林		/kɔːrmɑːnθˈɔːr/ kor-manth-OR	东央土森林
Cormyr	Forest Country、Land of the Purple Dragon	科米尔	森林之国、紫龙之土		/kɔːrˈmɪər/ core-MEER	东央土国家
Creator race	iqua Tel’Quessir、Iquar-Tel'Quessir、Iquar'Tel'Quessir	创造者种族	艾夸·泰'奎瑟			五个在费伦雷霆时代活跃的古老种族，别名为精灵语
Dalelands	the Dales	谷区	诸谷	谷地		东央土地区
Damara	Kingdom of Damara	达玛拉	达玛拉王国		/dɑːˈmærɑː/ dah-MARR-ah	恶魔之地国家
Days of Thunder		雷霆时代				谷地历约前35,000到前30,000
Dunwood	The Rawlinswood	顿林	罗林斯森林			巨谷森林
Eastern Heartlands		东央土		东哈特兰德		费伦西部地理区域
Easting Reach		朝东海域				坠星海东北海域
Elturgard		埃尔图迦德		埃尔托加德		西央土国家
Evermeet	Green Isle	永聚岛	绿岛			无痕海精灵岛屿
Evermoors	Trollmoors	永恒荒野	巨魔荒野			费伦北部荒原
Faerûn	the One Land	费伦	唯一之陆		/feɪˈruːn/ fay-ROON、/ˌfeɪɛrˈuːn/ FAY-er-OON	被遗忘的国度大陆，词源为别名的精灵语
Feywild	Plane of Faerie、Faerie、Isan Meidan	妖精荒野	妖精位面、伊桑梅丹	妖精沃野		回响物质位面
Forest of Wyrms		飞龙森林		巨龙森林		西央土地名
Fraternity of Tharos		萨罗斯兄弟会				因匹特邪教
Frostfell		霜落之地				大冰川地点
Gareth Dragonsbane		加雷斯·龙祸		盖洛斯·龙魇		达玛拉国王
Great Dale		巨谷				恶魔之地国家
Great Desert of Anauroch	The Great Sand Sea	安诺阿克大沙漠	大沙海	埃诺奥克沙漠	/ɑːˈnɔːrɑːtʃ/ ah-NOR-ach、/ɑːnˈɔːrɒkh/ an-OAR-ock-h、/ɑːˈnɔːrɒk/ a-NAW-rock、/ɑːnˈɔːrɒk/ an-OAR-ock	北费伦沙漠
Great Glacier	Pelvuria	大冰川	佩尔瑞尔			费伦东北部地区
Great Ice Sea	Yal Tengri	大冰海	雅尔腾格里			费伦东北部海洋
Great Sea	Bahr al-Kibar	巨海	伟大之海	宏海		费伦南部大洋
Gundarlun		贡德伦		冈达朗	/ˈguːndɛrlɛn/ GOON-der-len	无痕海岛屿
High Forest		至高森林				费伦北地森林
High Imaskar		至高伊玛斯卡				阿兰勃海国家
High Moor		至高荒原				西央土地名
Hordelands	Endless Wastes	游牧之地	无尽荒原			费伦与卡拉图之间的区域
Icepeak	Ice Peak Island	冰峰岛				北地火山岛，位于火剪镇西北
Icerim Mountains		冰缘山脉				费伦东北山脉
Icewind Dale		冰风谷				费伦西北地区
Imbrar II		因布拉二世				因匹特国王
Impiltur	The Forgotten Kingdom、Realm of the Sword and the Wand	因匹特	被遗忘的王国、剑与杖之国	因布图	/ˈɪmpɪltɜːr/ IM-pil-tur	恶魔之地国家
Iriaebor	City of Thousand Spires	伊雷波尔	千塔之城	伊利亚巴	/ɪəriˈeɪbɔːr/ eer-ee-AY-bore	西央土国家
Kara-Tur	the Eastern Realms	卡拉图	东方国度		/kɑːrɑːˈtʊər/ kah-rah-TOOR	费伦东方大陆
Katashaka	Dark Continent	卡塔沙卡	黑暗大陆			费伦西南方大陆
Kingdom of Many-Arrows	Kingdom of Dark Arrows	众箭王国	暗箭王国			费伦西北兽人王国
Kolophoon		科洛芬				雷霆时代的巴契兹魔鱼帝国
Lords of Imphras II	Council of Lords	因弗拉斯二世议会	领主议会			因匹特议会
Luruar	League of the Silver Marches、Silver Marches	洛露阿	白银边疆联盟、白银边疆	拉露亚、银月联盟		费伦西北城邦同盟
Luskan	the City of Sails	路斯坎	千帆之城			剑湾城市
Marsh of Chelimber		舍林贝尔沼泽		彻里姆巴沼泽	/ʃɛˈlɪmbɛr/ sheh-LIM-ber	西央土地名
Maztica	The True World	马兹提卡	真实世界	马兹特克、马兹提克	/mɑːzˈtikɑː/ mahz-TEE-ka	费伦西方大陆
Mistledale		迷雾谷				谷地之一
Moonsea		月海				费伦北部湖泊
Moonshaes		月影群岛				无痕海岛屿群
